case_id,customer_text,expected_intent,predicted_intent,similarity,intent_correct
1,@SpotifyCares Yoo!! I can’t find that Time Capsule playlist. I scan the playlist code and it never loads. Help pleaseee!!,playlist,playlist,0.7376474142074585,True
2,@SpotifyCares Im trying to set up my profile as an artist and upload my music on there 🙏🏻🙄,general,general,0.8389952182769775,True
3,@SpotifyCares @218968 Totally forgot the link! 🤦‍♀️ https://t.co/rAtjclebLf,general,general,1.0000001192092896,True
4,@SpotifyCares I cant update my payment details bc it wants me to verify my student status (which I am not). Just want premium to not cancel.,security,security,0.9114782810211182,True
5,@SpotifyCares I got a gift card and used it to get a premium account but it still says it's free when I try to log in?,account_login,account_login,0.8706008791923523,True
6,@SpotifyCares The site was not letting my reset my password but I finally got it!,playlist,account_login,0.89139324426651,False
7,"@SpotifyCares hello, I ve just payed Spotify premium, but I forgot to update my country in the details before. My account shows me that my current country is UK , bun now I live in the Netherlands. I payed with pound. Is there anyway to fix this?",subscription,subscription,0.8408770561218262,True
8,"@SpotifyCares Whenever I receive a snapchat my music pauses, why is this? And how can I fix it?",playback,playback,0.9999999403953552,True
9,@SpotifyCares my premium family account paused and when I started it back the family members are all gone and I cant re-invite? #2angrykids #help,playback,playback,0.8753761053085327,True
10,"@SpotifyCares after your piss poor performance.. Its obvious you don't care, YOU HATE YOUR CUSTOMERS. AFTER 2 MONTHS I'M NOT TAKING MORE SCREEN SHOOTS. I'VE PAID 3 MONTHS WITH NO SERVICE. I HATE U AND WANT MY MONEY BACK NOW.",playlist,general,0.8140473365783691,False
11,@SpotifyCares I just upgraded from premium to family and when i go to add family members I just get a blank page - please help!!!!,subscription,subscription,0.9408729076385498,True
12,"@SpotifyCares what's up with the app?? Not playing certain albums, or playlists.",playback,playback,0.8551067113876343,True
13,@SpotifyCares In my credit card. I would like that you reverse that charge. Can you do that?,security,security,0.837479293346405,True
14,@SpotifyCares Yo didn't I see a commercial saying premium is 50% off w/ Capital One QuikSilver card? You're charging me full price.,subscription,subscription,1.0,True
15,@SpotifyCares any plans to use the playback interface from the Time Capsule mode for normal playback? It’s so much nicer!,playback,general,0.6952537298202515,False
16,@SpotifyCares everytime i play music and lock my phone the songs either pause or skip. I've re downloaded app and still not helped any ideas? thanks!,playback,playback,0.8943156003952026,True
17,"@SpotifyCares my current email address (__email__). I would like to close both accounts and open a new, student premium account with my current email (__email__). I hope that all makes sense. Thanks for your help!",subscription,subscription,0.8173299431800842,True
18,"@SpotifyCares can i see my status of account? so i dont forget to extend it, because i dont get/pay my premium account from credit card",security,security,0.814545750617981,True
19,My account was charged after I cancelled Premium last month. What’s up? @SpotifyCares,subscription,subscription,0.9094329476356506,True
20,@SpotifyCares Someone is using my grandmothers card for a subscription and we are trying to figure out how to stop it from charging her account.,subscription,subscription,0.8088226318359375,True
21,"@SpotifyCares Error code 3, but I've also changed my facebook password too just in case. But still it doesn't work.",account_login,account_login,0.8858466148376465,True
22,.@SpotifyCares hey. bring back anita baker's catalog when you're not busy. thanks,general,general,0.7192977070808411,True
23,@SpotifyCares my account has been hacked. The email address has been changed. Please can someone help. Thanks,security,security,0.9822695851325989,True
24,"@SpotifyCares the app is: difficult to navigate, clunky, doesn’t even sort of mirror spotify for web/mobile/etc., doesn’t give options + my playlists.",playlist,playlist,0.8049671649932861,True
25,What's happening on spotify's system? I tried it for 15 times already since 1pm until now. I can't subscribe again into premium and I don't know why. ☹️ please help me to fix this shit! @SpotifyCares @148611 https://t.co/fTriAOfIbw,subscription,subscription,0.8202229142189026,True
26,@SpotifyCares just booted off my family plan for some reason this morning. I have resent invite multiple times. It says oops try again.,subscription,subscription,0.8867114782333374,True
27,"@SpotifyCares Hi. Thanks. I have paid to changing my account into premium account, but turns out, my account is still free one. Pls advise.",subscription,subscription,0.921451210975647,True
28,@SpotifyCares I talked to 2 people and both ain’t know how to help so the subscription canceled,subscription,subscription,0.867628276348114,True
29,@SpotifyCares I can't remember any of my login details and I ambout to pay a subscription which I do not want.,account_login,account_login,0.8833823204040527,True
30,"SOS @SpotifyCares I can't log into my account (signed up through FB), it keeps saying error code 3. PLZ HELP I NEED MUSIC😩",account_login,account_login,0.8537008166313171,True
31,@118266 please take a look @SpotifyCares https://t.co/pqL10MyQIe,general,general,0.9141060709953308,True
32,"8 days later and this has happened again, but also cleared my entire saved artists and albums. How much is @1122? @SpotifyCares https://t.co/ajvFCQnrFY",general,general,0.730219841003418,True
